game_datetime,home_team,away_team,home_team_score,away_team_score,home_team_win_pct,away_team_win_pct,home_team_points_per_game,away_team_points_per_game,home_team_points_allowed_per_game,away_team_points_allowed_per_game,stadium_latitude,stadium_longitude
2019-11-03,SEA,TB,40.0,34.0,0.125,1.0,20.625,31.0,31.25,17.0,0,0
2019-11-03,DEN,CLE,24.0,19.0,0.7142857142857143,1.0,28.857142857142858,31.75,21.428571428571427,14.25,0,0
2019-11-03,LAC,GB,26.0,11.0,0.0,0.625,24.0,28.25,30.0,22.625,0,0
2019-11-03,BAL,NE,37.0,20.0,1.0,0.75,33.666666666666664,19.0,21.333333333333332,15.75,0,0
2019-11-04,NYG,DAL,18.0,37.0,1.0,0.0,22.5,24.0,15.0,31.5,0,0
2019-11-07,OAK,LAC,26.0,24.0,1.0,0.0,34.0,24.0,18.0,30.0,0,0
2019-11-10,CHI,DET,20.0,13.0,0.0,1.0,15.0,33.75,20.0,23.5,0,0
2019-11-10,CIN,BAL,13.0,49.0,1.0,1.0,36.0,33.666666666666664,17.0,21.333333333333332,0,0
2019-11-10,CLE,BUF,19.0,16.0,1.0,0.75,31.75,19.75,14.25,16.375,0,0
2019-11-10,NO,ATL,9.0,26.0,1.0,0.6666666666666666,28.5,23.333333333333332,18.0,23.666666666666668,0,0
2019-11-10,NYJ,NYG,34.0,27.0,1.0,1.0,17.0,22.5,16.0,15.0,0,0
2019-11-10,TB,ARI,30.0,27.0,1.0,1.0,31.0,29.375,17.0,12.75,0,0
2019-11-10,TEN,KC,35.0,32.0,0.5,0.6666666666666666,21.5,28.0,23.5,22.666666666666668,0,0
2019-11-10,IND,MIA,12.0,16.0,0.8,0.8333333333333334,29.6,20.166666666666668,22.6,15.166666666666666,0,0
2019-11-10,GB,CAR,24.0,16.0,0.625,1.0,28.25,29.571428571428573,22.625,11.0,0,0
2019-11-10,PIT,LA,17.0,12.0,1.0,1.0,32.0,29.4,18.0,12.8,0,0
2019-11-10,DAL,MIN,24.0,28.0,0.0,0.6666666666666666,24.0,28.0,31.5,22.666666666666668,0,0
2019-11-11,SF,SEA,24.0,27.0,1.0,0.125,29.375,20.625,12.75,31.25,0,0
2019-11-14,CLE,PIT,21.0,7.0,1.0,1.0,31.75,32.0,14.25,18.0,0,0
2019-11-17,BAL,HOU,41.0,7.0,1.0,0.6666666666666666,33.666666666666664,28.666666666666668,21.333333333333332,24.0,0,0
2019-11-17,CAR,ATL,3.0,29.0,1.0,0.6666666666666666,29.571428571428573,23.333333333333332,11.0,23.666666666666668,0,0
2019-11-17,DET,DAL,27.0,35.0,1.0,0.0,33.75,24.0,23.5,31.5,0,0
2019-11-17,IND,JAX,33.0,13.0,0.8,1.0,29.6,40.0,22.6,26.0,0,0
2019-11-17,MIA,BUF,20.0,37.0,0.5555555555555556,0.6666666666666666,21.555555555555557,19.333333333333332,21.444444444444443,16.666666666666668,0,0
2019-11-17,MIN,DEN,27.0,23.0,0.6666666666666666,0.7142857142857143,28.0,28.857142857142858,22.666666666666668,21.428571428571427,0,0
2019-11-17,TB,NO,17.0,34.0,1.0,0.2222222222222222,31.0,21.22222222222222,17.0,28.77777777777778,0,0
2019-11-17,WAS,NYJ,17.0,34.0,1.0,1.0,26.0,17.0,10.666666666666666,16.0,0,0
2019-11-17,SF,ARI,36.0,26.0,0.8888888888888888,1.0,28.77777777777778,29.375,14.333333333333334,12.75,0,0
2019-11-17,OAK,CIN,17.0,10.0,1.0,1.0,34.0,36.0,18.0,17.0,0,0
2019-11-17,PHI,NE,10.0,17.0,0.7142857142857143,0.75,19.142857142857142,19.0,17.428571428571427,15.75,0,0
2019-11-17,LA,CHI,17.0,7.0,1.0,0.0,29.4,15.0,12.8,20.0,0,0
