game_id,season,week,game_date,venue_name,venue_indoor,venue_latitude,venue_longitude,home_team,home_score,home_record,home_win_percentage,away_team,away_score,away_record,away_win_percentage,away_firstdowns,away_firstdownspassing,away_firstdownsrushing,away_firstdownspenalty,away_thirddowneff,away_fourthdowneff,away_totaloffensiveplays,away_totalyards,away_yardsperplay,away_totaldrives,away_netpassingyards,away_completionattempts,away_yardsperpass,away_interceptions,away_sacksyardslost,away_rushingyards,away_rushingattempts,away_yardsperrushattempt,away_redzoneattempts,away_totalpenaltiesyards,away_turnovers,away_fumbleslost,away_defensivetouchdowns,away_possessiontime,spread,over_under,home_moneyline,away_moneyline,away_totalpointspergame,away_yardspergame,away_passingyardspergame,away_rushingyardspergame,away_totalpointspergameallowed,away_yardspergameallowed,away_passingyardspergameallowed,away_rushingyardspergameallowed
401127915,2019,3,2019-09-22T17:00Z,Highmark Stadium,,,,BUF,21,3-0,0.0,CIN,17,0-3,0.0,25,12,11,2,5-13,0-0,73,416,5.7,13,241,23/36,6.5,1,1-2,175,36,4.9,2-4,7-55,2,1,0,36:54,,,,,,,,,,,,
401127921,2019,3,2019-09-22T17:00Z,AT&T Stadium,,,,DAL,31,3-0,0.0,MIA,6,0-3,0.0,28,12,15,1,5-10,0-0,67,476,7.1,12,241,19/32,7.3,1,1-5,235,34,6.9,4-5,8-100,1,0,0,30:56,,,,,,,,,,,,
401127925,2019,3,2019-09-22T17:00Z,Lambeau Field,,,,GB,27,3-0,0.0,DEN,16,0-3,0.0,16,8,7,1,2-9,0-0,52,312,6.0,11,235,17/29,8.1,0,0-0,77,23,3.3,2-2,7-53,0,0,0,24:26,,,,,,,,,,,,
401127929,2019,3,2019-09-22T17:00Z,Lucas Oil Stadium,,,,IND,27,2-1,0.0,ATL,24,1-2,0.0,29,15,7,7,5-8,0-0,62,379,6.1,7,300,28/37,7.9,0,1-10,79,24,3.3,3-5,4-39,0,0,0,31:23,,,,,,,,,,,,
401127953,2019,3,2019-09-22T17:00Z,GEHA Field at Arrowhead Stadium,,,,KC,33,3-0,0.0,BAL,28,2-1,0.0,27,14,9,4,5-9,0-1,63,503,8.0,10,363,27/37,9.6,0,1-11,140,25,5.6,3-4,4-31,0,0,0,27:16,,,,,,,,,,,,
401127956,2019,3,2019-09-22T17:00Z,U.S. Bank Stadium,,,,MIN,34,2-1,0.0,OAK,14,1-2,0.0,23,8,10,5,5-9,0-0,59,385,6.5,10,174,15/21,8.3,0,0-0,211,38,5.6,3-4,6-59,0,0,0,31:32,,,,,,,,,,,,
401127861,2019,3,2019-09-22T17:00Z,Gillette Stadium,,,,NE,30,3-0,0.0,NYJ,14,0-3,0.0,21,17,2,2,6-15,0-0,73,381,5.2,14,313,30/45,6.8,1,1-7,68,27,2.5,3-4,8-70,2,1,0,35:14,,,,,,,,,,,,
401127959,2019,3,2019-09-22T17:00Z,Lincoln Financial Field,,,,PHI,24,1-2,0.0,DET,27,2-0-1,0.0,22,11,6,5,7-13,0-2,69,373,5.4,12,246,19/36,6.3,0,3-13,127,30,4.2,3-4,4-30,2,2,0,32:18,,,,,,,,,,,,
401127962,2019,3,2019-09-22T20:05Z,State Farm Stadium,,,,ARI,20,0-2-1,0.0,CAR,38,1-2,0.0,21,9,10,2,9-17,1-1,73,248,3.4,11,127,30/43,2.5,2,8-46,121,22,5.5,2-3,7-52,2,0,0,31:44,,,,,,,,,,,,
401127966,2019,3,2019-09-22T20:05Z,Raymond James Stadium,,,,TB,31,1-2,0.0,NYG,32,1-2,0.0,24,16,6,2,4-14,1-1,73,499,6.8,13,355,23/37,8.7,1,4-25,144,32,4.5,1-5,4-30,1,0,0,33:12,,,,,,,,,,,,
