home_games_played,home_points_scored,home_points_allowed,home_wins,home_losses,home_ties,away_games_played,away_points_scored,away_points_allowed,away_wins,away_losses,away_ties,total_games,avg_points_scored,avg_points_allowed,total_wins,total_losses,total_ties,win_percentage,year,team
8,16.625,18.25,4,4,0,8,18.375,19.0,4,4,0,16,17.5,18.625,8,8,0,0.5,2019,CHI
8,22.125,24.0,4,4,0,8,19.75,25.125,2,6,0,16,20.9375,24.5625,6,10,0,0.375,2019,CLE
8,19.625,33.75,3,5,0,8,18.625,28.0,2,6,0,16,19.125,30.875,5,11,0,0.3125,2019,MIA
8,24.375,16.125,6,2,0,8,26.5,21.75,4,4,0,16,25.4375,18.9375,10,6,0,0.625,2019,MIN
8,18.625,19.5,5,3,0,8,15.875,25.375,2,6,0,16,17.25,22.4375,7,9,0,0.4375,2019,NYJ
8,21.0,16.75,5,3,0,8,27.125,27.5,4,4,0,16,24.0625,22.125,9,7,0,0.5625,2019,PHI
8,20.375,28.375,2,6,0,8,22.125,30.375,3,5,0,16,21.25,29.375,5,11,0,0.3125,2019,CAR
8,17.875,24.25,3,5,0,8,19.625,25.375,3,5,0,16,18.75,24.8125,6,10,0,0.375,2019,JAX
8,18.75,24.125,2,6,0,8,23.375,19.0,3,5,0,16,21.0625,21.5625,5,11,0,0.3125,2019,LAC
8,25.625,28.625,4,4,0,8,25.0,21.125,7,1,0,16,25.3125,24.875,11,5,0,0.6875,2019,SEA
8,32.125,19.75,5,3,0,8,22.125,20.375,3,5,0,16,27.125,20.0625,8,8,0,0.5,2019,DAL
8,22.25,29.25,2,5,1,8,22.875,26.0,3,5,0,16,22.5625,27.625,5,10,1,0.34375,2019,ARI
8,25.125,30.875,2,6,0,8,32.125,25.25,5,3,0,16,28.625,28.0625,7,9,0,0.4375,2019,TB
8,25.25,15.0,6,2,0,8,27.25,13.125,6,2,0,16,26.25,14.0625,12,4,0,0.75,2019,NE
8,28.375,22.875,6,2,0,8,28.875,19.75,7,1,0,16,28.625,21.3125,13,3,0,0.8125,2019,NO
8,21.125,23.125,5,3,0,8,18.0,29.25,2,6,0,16,19.5625,26.1875,7,9,0,0.4375,2019,OAK
8,18.5,27.75,2,6,0,8,16.375,24.75,0,8,0,16,17.4375,26.25,2,14,0,0.125,2019,CIN
8,23.5,29.0,2,6,0,8,19.125,23.875,1,6,1,16,21.3125,26.4375,3,12,1,0.21875,2019,DET
8,25.625,19.5,7,1,0,8,21.375,19.625,6,2,0,16,23.5,19.5625,13,3,0,0.8125,2019,GB
8,25.0,23.75,4,4,0,8,25.25,17.625,5,3,0,16,25.125,20.6875,9,7,0,0.5625,2019,TEN
8,19.125,26.0,2,6,0,8,23.5,30.375,2,6,0,16,21.3125,28.1875,4,12,0,0.25,2019,NYG
8,22.0,17.125,5,3,0,8,14.125,20.75,3,5,0,16,18.0625,18.9375,8,8,0,0.5,2019,PIT
8,29.875,18.625,7,1,0,8,36.5,16.625,7,1,0,16,33.1875,17.625,14,2,0,0.875,2019,BAL
8,23.625,24.5,5,3,0,8,23.625,23.625,5,3,0,16,23.625,24.0625,10,6,0,0.625,2019,HOU
8,18.75,17.875,5,3,0,8,16.5,21.625,2,6,0,16,17.625,19.75,7,9,0,0.4375,2019,DEN
8,21.0,25.125,3,5,0,8,26.625,24.75,4,4,0,16,23.8125,24.9375,7,9,0,0.4375,2019,ATL
8,17.75,16.75,4,4,0,8,21.5,15.625,6,2,0,16,19.625,16.1875,10,6,0,0.625,2019,BUF
8,24.5,19.625,5,3,0,8,20.625,27.0,2,6,0,16,22.5625,23.3125,7,9,0,0.4375,2019,IND
8,26.75,20.625,5,3,0,8,29.625,17.875,7,1,0,16,28.1875,19.25,12,4,0,0.75,2019,KC
8,32.375,19.625,6,2,0,8,27.5,19.125,7,1,0,16,29.9375,19.375,13,3,0,0.8125,2019,SF
8,27.5,22.25,6,2,0,8,31.625,23.0,8,0,0,16,29.5625,22.625,14,2,0,0.875,2020,KC
8,26.125,24.875,2,6,0,8,23.375,26.875,2,6,0,16,24.75,25.875,4,12,0,0.25,2020,ATL
8,32.0,23.5,7,1,0,8,30.625,23.375,6,2,0,16,31.3125,23.4375,13,3,0,0.8125,2020,BUF
8,24.25,35.75,1,7,0,8,22.875,29.125,4,4,0,16,23.5625,32.4375,5,11,0,0.3125,2020,DET
8,28.875,31.125,3,5,0,8,24.875,28.25,4,4,0,16,26.875,29.6875,7,9,0,0.4375,2020,MIN
8,19.375,21.0,5,3,0,8,21.375,23.125,2,6,0,16,20.375,22.0625,7,9,0,0.4375,2020,NE
8,21.375,26.75,2,6,0,8,22.375,23.5,3,5,0,16,21.875,25.125,5,11,0,0.3125,2020,CAR
8,17.0,29.75,1,7,0,8,21.25,31.75,0,8,0,16,19.125,30.75,1,15,0,0.0625,2020,JAX
8,29.25,18.125,5,3,0,8,29.25,19.75,6,2,0,16,29.25,18.9375,11,5,0,0.6875,2020,BAL
8,20.625,25.25,3,5,0,8,18.25,27.75,1,6,1,16,19.4375,26.5,4,11,1,0.28125,2020,CIN
8,31.625,24.75,6,2,0,8,28.625,17.375,6,2,0,16,30.125,21.0625,12,4,0,0.75,2020,NO
8,20.0,28.125,1,7,0,8,27.0,20.625,5,3,0,16,23.5,24.375,6,10,0,0.375,2020,SF
8,16.375,23.5,3,5,0,8,18.625,21.125,3,5,0,16,17.5,22.3125,6,10,0,0.375,2020,NYG
8,18.0,30.125,2,6,0,8,22.375,25.625,3,5,0,16,20.1875,27.875,5,11,0,0.3125,2020,DEN
8,25.625,22.75,6,2,0,8,25.375,29.625,5,3,0,16,25.5,26.1875,11,5,0,0.6875,2020,CLE
8,20.75,21.5,3,5,0,8,25.75,24.75,5,3,0,16,23.25,23.125,8,8,0,0.5,2020,CHI
8,29.75,34.375,4,4,0,8,19.625,24.75,2,6,0,16,24.6875,29.5625,6,10,0,0.375,2020,DAL
8,31.625,19.5,7,1,0,8,32.0,26.625,6,2,0,16,31.8125,23.0625,13,3,0,0.8125,2020,GB
8,32.875,28.25,5,3,0,8,28.5,26.625,6,2,0,16,30.6875,27.4375,11,5,0,0.6875,2020,TEN
8,27.5,22.375,6,2,0,8,28.875,22.875,5,3,0,16,28.1875,22.625,11,5,0,0.6875,2020,IND
8,25.0,19.0,5,3,0,8,25.5,23.25,5,3,0,16,25.25,21.125,10,6,0,0.625,2020,MIA
8,17.75,26.625,1,7,0,8,12.625,30.5,1,7,0,16,15.1875,28.5625,2,14,0,0.125,2020,NYJ
8,21.25,23.0,3,4,1,8,20.5,29.25,1,7,0,16,20.875,26.125,4,11,1,0.28125,2020,PHI
8,28.75,18.625,7,1,0,8,23.25,20.375,5,3,0,16,26.0,19.5,12,4,0,0.75,2020,PIT
8,28.5,23.875,5,3,0,8,33.0,20.5,6,2,0,16,30.75,22.1875,11,5,0,0.6875,2020,TB
8,28.25,27.875,4,4,0,8,23.0,18.0,4,4,0,16,25.625,22.9375,8,8,0,0.5,2020,ARI
8,21.75,26.25,4,4,0,8,26.25,27.0,3,5,0,16,24.0,26.625,7,9,0,0.4375,2020,LAC
8,25.625,29.625,2,6,0,8,22.375,28.375,2,6,0,16,24.0,29.0,4,12,0,0.25,2020,HOU
8,29.625,20.5,7,1,0,8,27.75,25.875,5,3,0,16,28.6875,23.1875,12,4,0,0.75,2020,SEA
8,28.0,30.75,2,6,0,8,26.25,29.0,6,2,0,16,27.125,29.875,8,8,0,0.5,2020,LV
8,33.25,17.125,7,1,0,9,27.22222222222222,24.0,6,3,0,17,30.058823529411764,20.764705882352942,13,4,0,0.7647058823529411,2021,TB
8,16.625,25.75,2,6,0,9,20.0,28.11111111111111,5,4,0,17,18.41176470588235,27.0,7,10,0,0.4117647058823529,2021,ATL
9,26.333333333333332,16.555555555555557,6,3,0,8,30.75,17.5,5,3,0,17,28.41176470588235,17.0,11,6,0,0.6470588235294118,2021,BUF
9,27.77777777777778,26.666666666666668,5,4,0,8,26.25,17.0,5,3,0,17,27.058823529411764,22.11764705882353,10,7,0,0.5882352941176471,2021,CIN
8,22.125,27.875,3,5,0,9,16.444444444444443,27.11111111111111,0,8,1,17,19.11764705882353,27.470588235294116,3,13,1,0.20588235294117646,2021,DET
9,23.22222222222222,16.77777777777778,7,2,0,8,26.25,25.375,5,3,0,17,24.647058823529413,20.823529411764707,12,5,0,0.7058823529411765,2021,TEN
9,27.555555555555557,24.11111111111111,4,5,0,8,25.375,18.5,5,3,0,17,26.529411764705884,21.470588235294116,9,8,0,0.5294117647058824,2021,IND
