game_id,season,week,game_date,venue_name,venue_indoor,venue_latitude,venue_longitude,home_team,home_score,home_record,home_win_percentage,away_team,away_score,away_record,away_win_percentage,away_firstdowns,away_firstdownspassing,away_firstdownsrushing,away_firstdownspenalty,away_thirddowneff,away_fourthdowneff,away_totaloffensiveplays,away_totalyards,away_yardsperplay,away_totaldrives,away_netpassingyards,away_completionattempts,away_yardsperpass,away_interceptions,away_sacksyardslost,away_rushingyards,away_rushingattempts,away_yardsperrushattempt,away_redzoneattempts,away_totalpenaltiesyards,away_turnovers,away_fumbleslost,away_defensivetouchdowns,away_possessiontime,spread,over_under,home_moneyline,away_moneyline,away_totalpointspergame,away_yardspergame,away_passingyardspergame,away_rushingyardspergame,away_totalpointspergameallowed,away_yardspergameallowed,away_passingyardspergameallowed,away_rushingyardspergameallowed,season_week,h2h_games,h2h_home_wins,h2h_away_wins,h2h_avg_point_diff,home_rest_days,away_rest_days,is_winter,is_warm_weather,weather_impact,point_differential,home_ppg,away_ppg,home_win,matchup_strength,home_last_game_score,home_momentum,home_form,away_last_game_score,away_momentum,away_form,home_division,away_division,is_division_game,is_conference_game,game_hour,is_primetime,is_afternoon,is_morning,is_weekend,home_win_pct,away_win_pct,win_pct_diff,is_favorite,season_home,week_home,team,score,is_home,rolling_score_recent,rolling_score_season,streak,season_away,week_away,team_away,score_away,is_home_away,rolling_score_recent_away,rolling_score_season_away,streak_away
20,2019,2,2019-09-15 17:00:00+00:00,MetLife Stadium,,,,NYG,14,0-2,0.0,BUF,28,2-0,0.0,21.0,14.0,7.0,0.0,3-12,1-2,66.0,370.0,5.6,12.0,241.0,26/45,5.2,2.0,1-9,129.0,20.0,6.5,1-1,7-40,2.0,0.0,0.0,27:22,,,,,,,,,,,,,2019_2,0,0,0,0.0,6,7,False,True,False,-14,17.0,21.6,0,19.3,,,,16.0,12.0,12.0,NFC_EAST,AFC_EAST,False,False,17,False,True,False,True,0.0,0.0,0.0,False,2019,2,NYG,14,1,15.5,15.5,-1.0,2019,2,BUF,28,0,22.5,22.5,1.0
21,2019,2,2019-09-15 17:00:00+00:00,Acrisure Stadium,,,,PIT,26,0-2,0.0,SEA,28,2-0,0.0,17.0,10.0,5.0,2.0,3-11,0-0,51.0,261.0,5.1,11.0,180.0,20/34,5.1,1.0,1-7,81.0,16.0,5.1,3-4,5-78,1.0,0.0,0.0,24:14,,,,,,,,,,,,,2019_2,0,0,0,0.0,6,6,False,True,False,-2,19.4,23.2,0,21.299999999999997,,,,,,,AFC_NORTH,NFC_WEST,False,False,17,False,True,False,True,0.0,0.0,0.0,False,2019,2,PIT,26,1,14.5,14.5,1.0,2019,2,SEA,28,0,24.5,24.5,1.0
22,2019,2,2019-09-15 17:00:00+00:00,Nissan Stadium,,,,TEN,17,1-1,0.0,IND,19,1-1,0.0,18.0,7.0,9.0,2.0,1-10,0-1,56.0,243.0,4.3,11.0,119.0,19/28,3.7,0.0,4-35,124.0,24.0,5.2,2-2,5-75,0.0,0.0,0.0,28:06,,,,,,,,,,,,,2019_2,0,0,0,0.0,7,6,False,True,False,-2,18.6,20.8,0,19.700000000000003,,,,30.0,-11.0,-11.0,AFC_SOUTH,AFC_SOUTH,True,True,17,False,True,False,True,0.0,0.0,0.0,False,2019,2,TEN,17,1,30.0,30.0,-1.0,2019,2,IND,19,0,21.5,21.5,-1.0
23,2019,2,2019-09-15 17:00:00+00:00,Lambeau Field,,,,GB,21,2-0,0.0,MIN,16,1-1,0.0,20.0,12.0,7.0,1.0,5-15,0-1,69.0,335.0,4.9,14.0,191.0,22/34,5.3,0.0,2-18,144.0,33.0,4.4,3-3,6-35,2.0,2.0,0.0,34:06,,,,,,,,,,,,,2019_2,0,0,0,0.0,9,7,False,True,False,5,20.2,21.6,1,20.9,,,,,,,NFC_NORTH,NFC_NORTH,True,True,17,False,True,False,True,0.0,0.0,0.0,False,2019,2,GB,21,1,15.5,15.5,1.0,2019,2,MIN,16,0,22.0,22.0,-1.0
24,2019,2,2019-09-15 17:00:00+00:00,Ford Field,,,,DET,13,1-0-1,0.0,LAC,10,1-1,0.0,19.0,12.0,6.0,1.0,4-10,1-1,58.0,339.0,5.8,10.0,245.0,22/30,8.2,2.0,0-0,94.0,28.0,3.4,0-0,8-71,2.0,0.0,0.0,28:41,,,,,,,,,,,,,2019_2,0,0,0,0.0,6,6,False,True,False,3,18.2,20.2,1,19.2,,,,,,,NFC_NORTH,AFC_WEST,False,False,17,False,True,False,True,0.0,0.0,0.0,False,2019,2,DET,13,1,20.0,20.0,-1.0,2019,2,LAC,10,0,20.0,20.0,-1.0
25,2019,2,2019-09-15 17:00:00+00:00,Paycor Stadium,,,,CIN,17,0-2,0.0,SF,41,2-0,0.0,14.0,11.0,2.0,1.0,9-18,1-2,65.0,316.0,4.9,12.0,291.0,26/42,6.3,1.0,4-20,25.0,19.0,1.3,1-3,7-60,1.0,0.0,0.0,27:41,,,,,,,,,,,,,2019_2,0,0,0,0.0,6,6,False,True,False,-24,18.8,22.8,0,20.8,,,,17.0,24.0,24.0,AFC_NORTH,NFC_WEST,False,False,17,False,True,False,True,0.0,0.0,0.0,False,2019,2,CIN,17,1,18.5,18.5,-1.0,2019,2,SF,41,0,36.0,36.0,1.0
26,2019,2,2019-09-15 17:00:00+00:00,Hard Rock Stadium,,,,MIA,0,0-2,0.0,NE,43,2-0,0.0,11.0,7.0,3.0,1.0,2-15,2-4,61.0,184.0,3.0,13.0,142.0,18/39,3.1,4.0,7-44,42.0,15.0,2.8,0-1,4-22,4.0,0.0,0.0,23:30,,,,,,,,,,,,,2019_2,0,0,0,0.0,7,6,False,True,False,-43,13.6,25.8,0,19.7,10.0,-10.0,-10.0,,,,AFC_EAST,AFC_EAST,True,True,17,False,True,False,True,0.5,0.0,0.5,True,2019,2,MIA,0,1,5.0,5.0,-1.0,2019,2,NE,43,0,38.0,38.0,1.0
27,2019,2,2019-09-15 20:05:00+00:00,Oakland Coliseum,,,,OAK,10,1-1,0.0,KC,28,2-0,0.0,19.0,12.0,5.0,2.0,6-14,1-1,60.0,307.0,5.1,11.0,178.0,23/38,4.3,2.0,3-20,129.0,19.0,6.8,1-3,7-52,2.0,0.0,0.0,27:25,,,,,,,,,,,,,2019_2,0,0,0,0.0,5,7,False,True,False,-18,12.2,27.6,0,19.9,24.0,-14.0,-14.0,26.0,2.0,2.0,,AFC_WEST,False,False,20,True,False,False,True,0.0,0.0,0.0,False,2019,2,OAK,10,1,17.0,17.0,-1.0,2019,2,KC,28,0,34.0,34.0,-1.0
28,2019,2,2019-09-15 20:25:00+00:00,Empower Field at Mile High,,,,DEN,14,0-2,0.0,CHI,16,1-1,0.0,27.0,19.0,5.0,3.0,3-14,3-3,76.0,372.0,4.9,9.0,282.0,35/50,5.4,1.0,2-10,90.0,24.0,3.8,1-3,10-81,1.0,0.0,0.0,32:59,,,,,,,,,,,,,2019_2,0,0,0,0.0,5,9,False,True,False,-2,10.8,27.6,0,19.200000000000003,,,,,,,AFC_WEST,NFC_NORTH,False,False,20,True,False,False,True,0.0,0.0,0.0,False,2019,2,DEN,14,1,15.0,15.0,-1.0,2019,2,CHI,16,0,9.5,9.5,1.0
29,2019,2,2019-09-15 20:25:00+00:00,Los Angeles Memorial Coliseum,,,,LAR,27,2-0,0.0,NO,9,1-1,0.0,20.0,11.0,7.0,2.0,5-13,0-0,61.0,380.0,6.2,11.0,265.0,19/28,8.5,0.0,3-18,115.0,30.0,3.8,3-6,8-65,1.0,1.0,0.0,30:21,,,,,,,,,,,,,2019_2,0,0,0,0.0,7,5,False,True,False,18,13.6,27.4,1,20.5,,,,,,,NFC_WEST,NFC_SOUTH,False,True,20,True,False,False,True,0.0,0.0,0.0,False,2019,2,LAR,27,1,28.5,28.5,-1.0,2019,2,NO,9,0,19.5,19.5,-1.0
