team,season,passing_yards,passing_tds,interceptions,rushing_yards,rushing_tds,rushing_fumbles_lost,receiving_yards,receiving_tds,games,total_yards_per_game,points_per_game,turnover_ratio
LV,2023,3666.0,20,18.0,1542.0,11,2.0,3661.0,20,17,306.3529411764706,18.0,-1.1764705882352942
MIA,2018,3309.0,26,13.0,1738.0,7,5.0,3309.0,26,16,315.4375,22.125,-1.125
MIA,2019,4117.0,22,18.0,1049.0,11,1.0,4161.0,22,16,322.875,20.625,-1.1875
MIA,2020,3937.0,24,13.0,1660.0,11,4.0,3922.0,24,15,373.1333333333333,23.6,-1.1333333333333333
MIA,2021,3936.0,21,14.0,1698.0,13,2.0,3980.0,22,17,331.4117647058824,19.764705882352942,-0.9411764705882353
MIA,2022,4765.0,30,15.0,2034.0,12,3.0,4760.0,29,17,399.94117647058823,25.058823529411764,-1.0588235294117647
MIA,2023,4698.0,30,15.0,2413.0,28,7.0,4798.0,31,17,418.29411764705884,31.41176470588235,-1.2941176470588236
MIN,2018,4298.0,30,10.0,1494.0,9,4.0,4316.0,30,16,362.0,25.875,-0.875
MIN,2019,3729.0,26,8.0,2140.0,19,4.0,3729.0,26,15,391.26666666666665,28.4,-0.8
MIN,2020,4265.0,35,13.0,2283.0,20,3.0,4265.0,35,16,409.25,33.75,-1.0
MIN,2021,4450.0,34,7.0,2004.0,10,3.0,4454.0,34,17,379.6470588235294,27.529411764705884,-0.5882352941176471
MIN,2022,4818.0,30,15.0,1661.0,18,3.0,5213.0,33,17,381.11764705882354,28.58823529411765,-1.0588235294117647
MIN,2023,6269.0,38,24.0,1840.0,11,4.0,4700.0,30,17,477.0,27.88235294117647,-1.6470588235294117
NE,2018,4405.0,29,11.0,1966.0,18,1.0,4422.0,30,16,398.1875,28.875,-0.75
NE,2019,4153.0,25,9.0,1705.0,17,1.0,4178.0,25,16,366.125,25.125,-0.625
NE,2020,3124.0,12,14.0,2346.0,20,1.0,3124.0,12,15,364.6666666666667,17.6,-1.0
NE,2021,4098.0,24,13.0,2148.0,24,3.0,4105.0,24,17,367.4117647058824,25.41176470588235,-0.9411764705882353
NE,2022,3815.0,19,14.0,1832.0,12,2.0,3815.0,19,17,332.1764705882353,17.647058823529413,-0.9411764705882353
NE,2023,3392.0,16,21.0,1669.0,9,2.0,3391.0,16,17,297.70588235294116,14.470588235294118,-1.3529411764705883
NO,2018,4174.0,33,7.0,2025.0,26,3.0,4309.0,34,16,387.4375,34.875,-0.625
NO,2019,4431.0,36,6.0,1737.0,12,1.0,4400.0,36,16,385.5,31.5,-0.4375
NO,2020,3945.0,28,8.0,2265.0,30,3.0,3967.0,29,16,388.125,32.625,-0.6875
NO,2021,3437.0,29,13.0,2267.0,13,1.0,3453.0,28,17,335.52941176470586,24.705882352941178,-0.8235294117647058
NO,2022,3969.0,24,14.0,2217.0,13,4.0,4120.0,24,16,386.625,22.875,-1.125
NO,2023,4225.0,28,11.0,1674.0,11,3.0,4202.0,28,17,347.0,23.647058823529413,-0.8235294117647058
NYG,2018,4405.0,23,12.0,1650.0,13,0.0,4416.0,23,16,378.4375,22.125,-0.75
NYG,2019,4070.0,30,17.0,1685.0,11,4.0,4070.0,30,14,411.07142857142856,30.428571428571427,-1.5
NYG,2020,3336.0,12,11.0,1596.0,12,3.0,3215.0,12,16,308.25,13.5,-0.875
NYG,2021,3463.0,15,20.0,1688.0,8,2.0,3446.0,14,16,321.9375,13.875,-1.375
NYG,2022,3431.0,17,6.0,2496.0,21,1.0,3353.0,17,17,348.6470588235294,19.41176470588235,-0.4117647058823529
NYG,2023,3351.0,15,12.0,1888.0,10,4.0,3365.0,15,17,308.1764705882353,14.117647058823529,-0.9411764705882353
NYJ,2018,3404.0,18,19.0,1619.0,11,5.0,3180.0,16,14,358.7857142857143,19.285714285714285,-1.7142857142857142
NYJ,2019,3443.0,19,16.0,1257.0,6,0.0,3494.0,19,16,293.75,16.5,-1.0
NYJ,2020,3115.0,16,14.0,1596.0,9,1.0,3009.0,16,15,314.06666666666666,16.4,-1.0
NYJ,2021,3625.0,17,19.0,1649.0,14,1.0,3959.0,20,15,351.6,20.4,-1.3333333333333333
NYJ,2022,4040.0,15,14.0,2026.0,16,1.0,4089.0,16,17,356.8235294117647,16.58823529411765,-0.8823529411764706
NYJ,2023,3185.0,10,12.0,1409.0,7,4.0,3221.0,11,17,270.2352941176471,9.882352941176471,-0.9411764705882353
OAK,2018,4353.0,20,17.0,1669.0,10,6.0,3777.0,18,16,376.375,18.0,-1.4375
OAK,2019,4110.0,22,8.0,1820.0,12,4.0,4083.0,22,16,370.625,21.0,-0.75
PHI,2018,4524.0,29,11.0,1612.0,12,2.0,5025.0,32,16,383.5,27.375,-0.8125
PHI,2019,4063.0,27,8.0,1939.0,16,4.0,3916.0,27,16,375.125,26.25,-0.75
PHI,2020,3728.0,22,20.0,2060.0,20,6.0,3725.0,22,16,361.75,24.0,-1.625
PHI,2021,3585.0,20,10.0,2715.0,25,4.0,3396.0,18,17,370.5882352941176,22.235294117647058,-0.8235294117647058
PHI,2022,4364.0,25,9.0,2509.0,32,2.0,4392.0,25,17,404.29411764705884,28.941176470588236,-0.6470588235294118
PHI,2023,4067.0,24,16.0,2190.0,22,5.0,4067.0,24,17,368.05882352941177,24.705882352941178,-1.2352941176470589
PIT,2018,5174.0,35,17.0,1445.0,16,2.0,5174.0,35,16,413.6875,32.25,-1.1875
PIT,2019,3214.0,18,19.0,1440.0,7,3.0,3225.0,18,16,290.875,16.125,-1.375
PIT,2020,4129.0,35,11.0,1351.0,12,2.0,4129.0,35,16,342.5,30.75,-0.8125
PIT,2021,4017.0,23,11.0,1583.0,10,0.0,4040.0,24,17,329.4117647058824,20.11764705882353,-0.6470588235294118
PIT,2022,3660.0,11,14.0,2018.0,16,1.0,3350.0,11,17,334.0,13.411764705882353,-0.8823529411764706
PIT,2023,3421.0,13,9.0,2010.0,16,3.0,3421.0,13,17,319.47058823529414,14.823529411764707,-0.7058823529411765
SEA,2018,3448.0,35,7.0,2560.0,15,2.0,3312.0,34,16,375.5,31.5,-0.5625
SEA,2019,4110.0,31,6.0,2201.0,15,7.0,4359.0,32,16,394.4375,29.25,-0.8125
SEA,2020,4245.0,40,13.0,1971.0,15,2.0,4257.0,40,16,388.5,35.625,-0.9375
SEA,2021,3840.0,30,8.0,2156.0,19,1.0,3820.0,30,17,352.70588235294116,27.88235294117647,-0.5294117647058824
SEA,2022,4282.0,30,12.0,2050.0,12,3.0,4294.0,30,17,372.47058823529414,25.41176470588235,-0.8823529411764706
SEA,2023,4167.0,23,12.0,1580.0,11,1.0,4167.0,23,17,338.05882352941177,20.11764705882353,-0.7647058823529411
SF,2018,4247.0,26,20.0,1902.0,7,6.0,4237.0,26,16,384.3125,22.125,-1.625
SF,2019,4029.0,28,13.0,2305.0,23,3.0,4429.0,30,17,372.5882352941176,28.58823529411765,-0.9411764705882353
SF,2020,4320.0,25,17.0,1889.0,19,3.0,4311.0,25,16,388.0625,25.875,-1.25
SF,2021,4437.0,26,14.0,2159.0,22,1.0,4437.0,26,16,412.25,27.75,-0.9375
SF,2022,4108.0,30,10.0,2285.0,20,3.0,4235.0,31,17,376.05882352941177,28.58823529411765,-0.7647058823529411
SF,2023,4577.0,33,12.0,2389.0,27,2.0,4577.0,33,16,435.375,34.875,-0.875
TB,2018,5358.0,36,26.0,1523.0,11,2.0,5358.0,36,16,430.0625,31.125,-1.75
TB,2019,5127.0,33,30.0,1521.0,15,3.0,5092.0,33,16,415.5,30.375,-2.0625
TB,2020,4776.0,42,12.0,1538.0,16,2.0,4794.0,43,16,394.625,37.875,-0.875
TB,2021,5383.0,43,12.0,1755.0,20,3.0,5425.0,43,17,419.88235294117646,37.411764705882355,-0.8823529411764706
TB,2022,4746.0,26,10.0,1306.0,5,3.0,4703.0,26,17,356.0,20.11764705882353,-0.7647058823529411
TB,2023,4044.0,28,10.0,1467.0,8,1.0,4045.0,28,17,324.1764705882353,22.58823529411765,-0.6470588235294118
TEN,2018,3255.0,16,12.0,2027.0,15,2.0,3244.0,16,16,330.125,17.625,-0.875
TEN,2019,3956.0,29,8.0,2223.0,21,4.0,3956.0,29,16,386.1875,29.625,-0.75
TEN,2020,3826.0,34,7.0,2690.0,26,2.0,4081.0,33,16,407.25,34.875,-0.5625
TEN,2021,3745.0,23,14.0,2318.0,22,4.0,3647.0,22,17,356.6470588235294,23.647058823529413,-1.0588235294117647
TEN,2022,3227.0,17,11.0,2131.0,16,5.0,3227.0,16,17,315.1764705882353,17.294117647058822,-0.9411764705882353
TEN,2023,3512.0,14,11.0,1846.0,16,4.0,3512.0,14,17,315.1764705882353,15.529411764705882,-0.8823529411764706
WAS,2018,3287.0,16,15.0,1673.0,9,1.0,3185.0,15,16,310.0,15.0,-1.0
WAS,2019,3205.0,18,13.0,1583.0,9,2.0,3194.0,18,15,319.2,18.0,-1.0
WAS,2020,3796.0,16,16.0,1616.0,18,1.0,3823.0,16,16,338.25,18.75,-1.0625
WAS,2021,3746.0,21,15.0,2082.0,13,3.0,3747.0,22,17,342.8235294117647,19.764705882352942,-1.0588235294117647
WAS,2022,3783.0,24,16.0,2143.0,9,1.0,3783.0,24,17,348.5882352941176,20.11764705882353,-1.0
WAS,2023,4174.0,24,21.0,1592.0,14,5.0,4174.0,24,17,339.1764705882353,21.88235294117647,-1.5294117647058822
