date,home_team,away_team,home_score,away_score,stadium,total_yards,rush_attempts,pass_attempts,completions,first_downs,third_down_attempts,third_down_conv,fourth_down_attempts,fourth_down_conv,turnovers,penalty_yards
2019-09-29,HOU,CAR,10.0,16.0,NRG Stadium,561.0,50.0,77.0,45.0,37.0,25.0,11.0,0.0,0.0,5.0,116.0
2019-09-29,IND,OAK,24.0,31.0,Lucas Oil Stadium,,,,,,,,,,,
2019-09-29,MIA,LAC,10.0,30.0,Hard Rock Stadium,623.0,51.0,61.0,42.0,35.0,23.0,13.0,2.0,0.0,5.0,142.0
2019-09-29,NYG,WAS,24.0,3.0,MetLife Stadium,565.0,54.0,62.0,38.0,31.0,24.0,10.0,1.0,1.0,10.0,103.0
2019-09-29,ARI,SEA,10.0,27.0,State Farm Stadium,661.0,50.0,68.0,44.0,41.0,19.0,7.0,0.0,0.0,4.0,109.0
2019-09-29,LA,TB,40.0,55.0,Los Angeles Memorial Coliseum,982.0,41.0,114.0,73.0,63.0,24.0,12.0,1.0,0.0,5.0,205.0
2019-09-29,CHI,MIN,16.0,6.0,Soldier Field,491.0,49.0,77.0,51.0,32.0,29.0,10.0,5.0,3.0,3.0,105.0
2019-09-29,DEN,JAX,24.0,26.0,Empower Field at Mile High,826.0,54.0,76.0,41.0,43.0,25.0,8.0,1.0,1.0,3.0,152.0
2019-09-29,NO,DAL,12.0,10.0,Mercedes-Benz Superdome,523.0,47.0,69.0,45.0,32.0,25.0,10.0,1.0,0.0,4.0,144.0
2019-09-30,PIT,CIN,27.0,3.0,Heinz Field,501.0,44.0,76.0,48.0,36.0,23.0,7.0,4.0,1.0,4.0,97.0
2019-10-03,SEA,LA,30.0,29.0,CenturyLink Field,906.0,62.0,74.0,46.0,48.0,21.0,6.0,1.0,1.0,3.0,90.0
2019-10-06,CAR,JAX,34.0,27.0,Bank of America Stadium,952.0,58.0,80.0,43.0,50.0,25.0,10.0,1.0,0.0,4.0,154.0
2019-10-06,CIN,ARI,23.0,26.0,Paul Brown Stadium,884.0,61.0,72.0,47.0,45.0,25.0,11.0,2.0,1.0,1.0,156.0
2019-10-06,HOU,ATL,53.0,32.0,NRG Stadium,967.0,54.0,82.0,60.0,52.0,29.0,19.0,1.0,1.0,7.0,152.0
2019-10-06,NO,TB,31.0,24.0,Mercedes-Benz Superdome,709.0,53.0,69.0,43.0,44.0,26.0,11.0,3.0,2.0,3.0,70.0
2019-10-06,NYG,MIN,10.0,28.0,MetLife Stadium,701.0,54.0,72.0,43.0,39.0,27.0,13.0,4.0,1.0,4.0,157.0
2019-10-06,OAK,CHI,24.0,21.0,Tottenham Stadium,,,,,,,,,,,
2019-10-06,PHI,NYJ,31.0,6.0,Lincoln Financial Field,393.0,48.0,67.0,32.0,26.0,27.0,8.0,3.0,0.0,7.0,128.0
2019-10-06,PIT,BAL,23.0,26.0,Heinz Field,546.0,59.0,65.0,40.0,38.0,24.0,9.0,1.0,1.0,7.0,168.0
2019-10-06,TEN,BUF,7.0,14.0,Nissan Stadium,565.0,54.0,63.0,36.0,30.0,27.0,8.0,2.0,1.0,2.0,138.0
2019-10-06,WAS,NE,7.0,33.0,FedExField,665.0,47.0,80.0,46.0,34.0,26.0,6.0,1.0,0.0,5.0,127.0
2019-10-06,LAC,DEN,13.0,20.0,StubHub Center,596.0,48.0,71.0,46.0,34.0,24.0,7.0,1.0,0.0,7.0,165.0
2019-10-06,DAL,GB,24.0,34.0,AT&T Stadium,898.0,50.0,83.0,49.0,54.0,20.0,5.0,0.0,0.0,4.0,197.0
2019-10-06,KC,IND,13.0,19.0,Arrowhead Stadium,655.0,59.0,72.0,40.0,42.0,26.0,9.0,4.0,3.0,2.0,175.0
2019-10-07,SF,CLE,31.0,3.0,Levi's Stadium,626.0,58.0,59.0,29.0,31.0,27.0,7.0,1.0,1.0,6.0,89.0
2019-10-10,NE,NYG,35.0,14.0,Gillette Stadium,640.0,50.0,76.0,46.0,37.0,23.0,8.0,3.0,0.0,7.0,60.0
2019-10-13,TB,CAR,26.0,37.0,Tottenham Stadium,679.0,44.0,96.0,50.0,40.0,30.0,8.0,3.0,2.0,10.0,100.0
2019-10-13,BAL,CIN,23.0,17.0,M&T Bank Stadium,747.0,57.0,75.0,42.0,44.0,26.0,14.0,0.0,0.0,2.0,101.0
2019-10-13,CLE,SEA,28.0,32.0,FirstEnergy Stadium,862.0,63.0,74.0,45.0,50.0,21.0,9.0,3.0,2.0,6.0,148.0
2019-10-13,JAX,NO,6.0,13.0,TIAA Bank Stadium,552.0,50.0,70.0,38.0,29.0,27.0,9.0,1.0,0.0,2.0,50.0
2019-10-13,KC,HOU,24.0,31.0,Arrowhead Stadium,783.0,52.0,79.0,49.0,55.0,20.0,9.0,3.0,2.0,5.0,149.0
2019-10-13,MIA,WAS,16.0,17.0,Hard Rock Stadium,582.0,54.0,74.0,40.0,34.0,25.0,5.0,2.0,2.0,5.0,101.0
2019-10-13,MIN,PHI,38.0,20.0,U.S. Bank Stadium,847.0,57.0,73.0,48.0,45.0,22.0,6.0,4.0,2.0,5.0,79.0
2019-10-13,ARI,ATL,34.0,33.0,State Farm Stadium,886.0,54.0,75.0,57.0,54.0,24.0,13.0,1.0,1.0,1.0,129.0
2019-10-13,LA,SF,7.0,20.0,Los Angeles Memorial Coliseum,488.0,63.0,63.0,37.0,32.0,26.0,8.0,5.0,1.0,4.0,89.0
